id,name,latitude,longitude,url,category,address,phone_number,check_ins,rating
4bf1ee8da09076b0d7f329d4,1331 Restaurant & Lounge,38.89629983363284,-77.03133702278137,,American Restaurant,"1331 Pennsylvania Ave NW (btwn 13th & 14th St NW)
Washington, D.C. 20004
United States",(202) 393-2000,682,6.6
4a881b38f964a5202c0520e3,Highlands Cafe,38.94747846878543,-77.03276280107326,http://highlandsdc.com,Coffee Shop,"4706 14th St NW (Crittenden St. NW)
Washington, D.C. 20011
United States",(202) 829-6200,1349,8.1
54261db9498eabdbcf6c22a5,Taqueria Habanero,38.93751907348633,-77.032958984375,,Mexican Restaurant,"3710 14th St. NW (at Spring Rd NW)
Washington, D.C. 20010
United States",(301) 789-7407,220,9.1
4b9c301ef964a520f45236e3,Angles Bar & Billiards,38.920623,-77.041875,http://littlefountaincafe.com,Bar,"2339 18th St NW
Washington, D.C. 20050
United States",,758,7.5
4a6919b4f964a5209fcb1fe3,Astor Mediterranean,38.92173587736322,-77.0436617732048,http://www.astorfoods.com,Mediterranean Restaurant,"1829 Columbia Rd NW (btwn Biltmore St & Mintwood Pl NW)
Washington, D.C. 20009
United States",(202) 745-7495,1265,7.8
414e1d80f964a520dd1c1fe3,Bossa,38.922073933568015,-77.04223215579987,http://bossadc.com,Bar,"2463 18th St NW
Washington, D.C. 20009
United States",(202) 667-0088,1035,8.4
40b13b00f964a5201cf41ee3,Bedrock Billiards,38.921634,-77.04345613,http://bedrockbilliards-hub.com,Pool Hall,"1841 Columbia Rd NW (btwn Mintwood & Biltmore St NW)
Washington, D.C. 20009
United States",(202) 667-7665,2603,6.4
3fd66200f964a52075f11ee3,Brass Monkey,38.92012688333333,-77.041737,,Karaoke Bar,"2317 18th St NW
Washington, D.C. 20009
United States",(202) 667-7800,4368,5.6
49e5e3def964a520e2631fe3,The Black Squirrel,38.92121626931542,-77.04195857048035,http://blacksquirreldc.com,Pub,"2427 18th St NW (at Belmont Rd NW)
Washington, D.C. 20009
United States",(202) 232-1011,7165,7.9
49d60301f964a520a65c1fe3,The Blaguard,38.91722192118736,-77.04154523651826,http://www.theblaguarddc.com,Bar,"2003 18th St NW (at California St. NW)
Washington, D.C. 20009
United States",(202) 232-9005,6667,9.0
41fd7500f964a5204e1f1fe3,Cashion's Eat Place,38.92181204848155,-77.04345119937108,http://cashionseatplace.com,American Restaurant,"1819 Columbia Rd NW
Washington, D.C. 20009
United States",(202) 797-1819,2862,8.0
441be59cf964a5204c311fe3,Bourbon,38.92104097899515,-77.07224071025848,,Whisky Bar,"2348 Wisconsin Ave NW (at Calvert St. NW)
Washington, D.C. 20007
United States",(202) 625-7770,6260,7.8
40b13b00f964a5207cf41ee3,Heaven and Hell,38.92032,-77.04156,http://www.heavenandhellclub.com,Nightclub,"2327 18th St NW
Washington, D.C. 20009
United States",(202) 667-4355,1177,5.4
40b13b00f964a52027f41ee3,Bukom Cafe,38.92169730168704,-77.04242794281649,http://bukomcafe.com,African Restaurant,"2442 18th St NW
Washington, D.C. 20009
United States",(202) 265-4600,1106,7.8
410c3280f964a520b30b1fe3,Dan's Cafe,38.920052,-77.041694,,Dive Bar,"2315 18th St NW
Washington, D.C. 20009
United States",(202) 265-9241,3702,6.6
52897917498eae1270097fb0,Donburi,38.921685,-77.04246,,Japanese Restaurant,"2438 18th St NW (at Columbia Rd NW)
Washington, D.C. 20009
United States",,1441,9.3
510de142e4b0ca91f2f8b669,Dr. Clock's Nowhere Bar,38.91946960714062,-77.04184055328369,,Dive Bar,"2226 18th St NW (Kalorama)
Washington, D.C. 20009
United States",(202) 487-4615,276,7.5
5307fc98498e6e37e09d23e0,Dram and Grain,38.91731437563889,-77.04128098560788,,Cocktail Bar,"2007 18th St NW
Washington, D.C. 20009
United States",,250,7.7
4aebb2ebf964a52077c421e3,Duplex Diner,38.91719597111549,-77.04184322089412,http://www.duplexdiner.com,Diner,"2004 18th St NW (at U St NW)
Washington, D.C. 20009
United States",(202) 265-7828,12694,8.7
40b13b00f964a52047f41ee3,Columbia Station,38.92033664294729,-77.04191068895265,http://www.columbiastationdc.com,Jazz Club,"2325 18th St NW (Belmont)
Washington, D.C. 20009
United States",(202) 462-6040,728,7.8
4c79e2bd566db60cedaa460e,Habana Room,38.925226,-77.038995,,Other Nightlife,"Columbia rd
Washington, D.C.
United States",,4,
41326e00f964a520430d1fe3,The Diner,38.92177969955471,-77.04215437173843,http://dinerdc.com,Diner,"2453 18th St NW (at Columbia Rd NW)
Washington, D.C. 20009
United States",(202) 232-8800,16706,8.5
4ac0fd13f964a520509520e3,Himalayan Heritage,38.91980767414294,-77.04152137041092,http://himalayanheritagerestaurant.com,Himalayan Restaurant,"2305 18th St NW (at Kalorama Rd NW)
Washington, D.C. 20009
United States",(202) 483-9300,909,6.7
50672306e4b03c3d3aba7c80,Döner Bistro,38.92522855729419,-77.03873402699608,http://www.doener-usa.com,German Restaurant,"1654 Columbia Rd NW (at 17th St NW)
Washington, D.C. 20009
United States",(202) 462-8355,1391,7.6
556a4736498e742234d41471,Jug & Table,38.92166350585548,-77.04231549651273,,Wine Bar,"2446 18th St NW
Washington, D.C. 20009
United States",(202) 232-7663,39,
4a330364f964a520eb9a1fe3,El Tamarindo,38.917052,-77.041124,http://eltamarindodc.com,Latin American Restaurant,"1785 Florida Ave NW
Washington, D.C. 20009
United States",(202) 328-3660,4199,7.3
40b3de00f964a52016001fe3,L'Enfant Café,38.917072444166365,-77.04177575279789,http://www.lenfantcafe.com,French Restaurant,"2000 18th St NW (at U)
Washington, D.C. 20009
United States",(202) 319-1800,4681,7.6
4a6a72fbf964a5207bcd1fe3,La Fourchette,38.9212684630384,-77.04219180545772,http://lafourchetterestaurant.com,French Restaurant,"2429 18th St NW
Washington, D.C. 20009
United States",(202) 332-3077,793,7.5
55390c7c498e5c63a1376fb4,Lapis Afghan Bistro,38.92118333137972,-77.04361986720184,,Afghan Restaurant,"1847 Columbia Rd NW (at Mintwood Pl NW)
Washington, D.C. 20009
United States",,85,7.4
4adba524f964a520b72921e3,Las Canteras,38.919895,-77.041791,http://www.lascanterasdc.com,Latin American Restaurant,"2307 18th St NW
Washington, D.C. 20009
United States",(202) 265-1780,733,7.4
51cf8bfb498e0f0cae450de2,Libertine,38.921445815508555,-77.04202562570572,http://www.dclibertine.com,Bar,"2435 18th St NW
Washington, D.C. 20009
United States",(202) 450-3106,693,7.7
49e794cef964a520cc641fe3,Mama Ayesha's,38.923367,-77.04679887,http://www.mamaayeshas.com,Middle Eastern Restaurant,"1967 Calvert St NW (at Biltmore St NW)
Washington, D.C. 20009
United States",(202) 232-5431,1268,8.1
4a5b53eaf964a52003bb1fe3,Grand Central DC,38.921669,-77.042356,http://www.grandcentraldc.com,Bar,"2447 18th St NW (btwn Columbia & Belmont Rd NW)
Washington, D.C. 20009
United States",(202) 986-1742,7911,6.6
40b13b00f964a520aaf41ee3,Millie & Al's,38.92169414191763,-77.04258352518082,http://www.millienals.com,Dive Bar,"2440 18th St NW (btwn Columbia Rd & Mintwood Pl)
Washington, D.C. 20009
United States",(202) 387-8131,5456,6.8
410ed580f964a520cf0b1fe3,Grill from Ipanema,38.92091159776669,-77.04354375600815,http://www.thegrillfromipanema.com,Brazilian Restaurant,"1858 Columbia Rd NW (at Belmont Rd NW)
Washington, D.C. 20009
United States",(202) 986-0757,1335,8.2
4cf99602084f54810a027609,Muzette,38.91977890864792,-77.04148339061231,http://muzette.com,Karaoke Bar,"2305 18th St NW
Washington, D.C.
United States",,2724,7.0
5540047c498e1a8c728f3612,The High Dive,38.920570580429946,-77.04204000262621,,Dive Bar,"2337 18th St NW (at Belmont Rd NW)
Washington, D.C. 20009
United States",,115,
4dd596b2d4c05d5096bcb643,Jack Rose Dining Saloon,38.91736411336645,-77.04141029995537,http://www.jackrosediningsaloon.com,Whisky Bar,"2007 18th St NW
Washington, D.C. 20009
United States",(202) 588-7388,15442,9.0
540b9c50498eadd8be7ea4b1,Johnny Pistolas,38.920466443532725,-77.04180948685072,,Mexican Restaurant,"Washington, D.C.
United States",,565,6.8
53fdefe5498e524aa279ddd3,Pop's SeaBar,38.921975855699145,-77.04355180263519,http://www.popsseabar.com,Seafood Restaurant,"1817 Columbia Rd NW (at Biltmore St NW)
Washington, D.C. 20009
United States",(202) 534-3933,433,6.3
4fbb9ed4e4b055f4b2f4b570,Sakuramen,38.921472765542404,-77.04219180545772,http://sakuramen.info,Noodle House,"2441 18th St NW
Washington, D.C. 20009
United States",(202) 656-5285,3773,9.1
4bef71b3d1b7d13afbd4cdec,Sawah Diner,38.919451433333336,-77.041722,http://mysawahdiner.com,Ethiopian Restaurant,"2222 18th St NW
Washington, D.C. 20009
United States",(202) 232-2377,681,6.2
40b13b00f964a520a0f41ee3,Madam's Organ Blues Bar,38.92198066332244,-77.04212995988271,http://www.madamsorgan.com,Bar,"2461 18th St NW (at Columbia Rd NW)
Washington, D.C. 20009
United States",(202) 667-5370,8649,8.5
