2941,Colony Club,http://www.colonyclubdc.com,Columbia Heights,max.colonyclub@gmail.com
2989,Iron Horse Tap Room,http://www.ironhorsedc.com,Downtown,gm@ironhorsedc.com
3254,DC Eagle,http://www.dceagle.com,East of The River,wdceagle@gmail.com
2816,Sequoia,http://www.arkrestaurants.com/sequoia_dc.html,Georgetown,ortize@arkrestaurants.com
2373,Town Tavern,http://www.towntaverndc.com,Adams Morgan,towntavernevents@gmail.com
2702,Maddy's Bar and Grille,http://www.maddysbarandgrille.com,Dupont Circle,events@maddysrestaurantgroup.com
3252,Bourbon,http://www.bourbondc.com,Adams Morgan,mrjamespwoods@gmail.com
2723,Tabard Inn,http://www.tabardinn.com,Dupont Circle,hotel@tabardinn.com
2635,Bistro Bistro,http://www.bistrobistrodc.com,Dupont Circle,bistrobistrodc1@gmail.com
2982,Mango Tree,http://www.mangotreedc.com,Downtown,thanson@mangotreedc.com
2615,Science Club,http://www.scienceclubdc.com,Foggy Bottom,scienceclubdc@gmail.com
2567,Green Lantern,http://www.greenlanterndc.com,Downtown,lanterndc@gmail.com
2576,Fast Eddie's Sports & Billiards,http://www.fasteddies.com,Downtown,dc@fasteddies.com
2495,Rocket Bar,http://www.rocketbardc.com,Downtown,rodney@rocketbardc.com
2694,Rosemary's Thyme Bistro,http://www.rosemarysthyme.com,Dupont Circle,rosemarysthymebistro@yahoo.com
3136,Bar Deco,http://www.bardecodc.com,Downtown,lbelisle@brightlinestrategies.com
2577,Froggy Bottom Pub,http://www.froggybottompub.com,Foggy Bottom,paulnbui@gmail.com
2910,Stoney's Restaurant,http://www.stoneys-dc.com/,Logan Circle,stoneysevents@gmail.com
2488,Vapiano,http://us.vapiano.com/en/restaurants/vapiano-m-street-1800-m-street-nw-1/,Foggy Bottom,vapianouk@yahoo.co.uk
2584,P.J. Clarke's,http://www.pjclarkes.com/dc/,Downtown,privateaffairsDC@pjclarkes.com
2696,Lucky Bar,http://www.luckybardc.com,Dupont Circle,paul@luckybardc.com
2946,Top Spanish Cafe And Catering,http://www.topspanishcafedc.com/,East DC,topspanish@verizon.net
2479,Proof,http://www.proofdc.com,Downtown,proof@proofdc.com
2972,Cure Bar & Bistro,http://www.curebarandbistro.com,Downtown,WASGH-Cure.Inquiry@hyatt.com
